Age,Male,Female,Total
<1,1814240,1761330,3575570
1,1740186,1689195,3429381
2,1676517,1627462,3303979
3,1630949,1583863,3214812
4,1600537,1555449,3155986
5,1579666,1536599,3116265
6,1562726,1521693,3084419
7,1544102,1505111,3049213
8,1519546,1482597,3002143
9,1490266,1455348,2945614
10,1458836,1425929,2884765
11,1427828,1396900,2824728
12,1399815,1370825,2770640
13,1376681,1349563,2726244
14,1357555,1332159,2689714
15,1340879,1316955,2657834
16,1325094,1302295,2627389
17,1308639,1286520,2595159
18,1290152,1268215,2558367
19,1269047,1246935,2515982
20,1244936,1222480,2467416
21,1217429,1194647,2412076
22,1186137,1163235,2349372
23,1150819,1128161,2278980
24,1111835,1089828,2201663
25,1069690,1048757,2118447
26,1024892,1005471,2030363
27,977948,960490,1938438
28,929553,914522,1844075
29,881153,869010,1750163
30,834383,825585,1659968
31,790877,785875,1576752
32,752270,751509,1503779
33,719622,723474,1443096
34,691701,700187,1391888
35,666700,679424,1346124
36,642812,658959,1301771
37,618230,636567,1254797
38,591686,610663,1202349
39,564072,582214,1146286
40,536818,552829,1089647
41,511352,524117,1035469
42,489105,497684,986789
43,471011,474745,945756
44,456025,454933,910958
45,442604,437487,880091
46,429209,421645,850854
47,414296,406646,820942
48,396729,391844,788573
49,376989,377062,754051
50,355957,362234,718191
51,334519,347299,681818
52,313558,332191,645749
53,293837,316941,610778
54,275639,301939,577578
55,259126,287670,546796
56,244459,274617,519076
57,231800,263264,495064
58,221193,253878,475071
59,212198,245864,458062
60,204259,238410,442669
61,196818,230704,427522
62,189319,221934,411253
63,181329,211550,392879
64,172920,200053,372973
65,164289,188205,352494
66,155633,176770,332403
67,147149,166509,313658
68,138985,157947,296932
69,131087,150654,281741
70,123354,143963,267317
71,115684,137205,252889
72,107975,129712,237687
73,100147,120995,221142
74,92209,111278,203487
75,84192,100963,185155
76,76126,90451,166577
77,68041,80145,148186
78,59997,70390,130387
79,52154,61298,113452
80,44704,52926,97630
81,37836,45330,83166
82,31740,38565,70305
83,26549,32659,59208
84,22169,27525,49694
85,18451,23046,41497
86,15244,19106,34350
87,12398,15590,27988
88,9796,12407,22203
89,7445,9562,17007
90,5387,7087,12474
91,3662,5012,8674
92,2311,3369,5680
93,1355,2171,3526
94,737,1355,2092
95,381,841,1222
96,213,549,762
97,156,398,554
98,144,319,463
99,157,281,438
100,181,263,444
